family,feature_count,target_variant,alpha,scheme,budget,query_rate,raw_gain,adjusted_gain,rescues,harms,rescue_vs_harm_auc,effect_spearman,worst_cell_adjusted_gain,quintile_monotonic_rho,quintile_top_minus_bottom
relative_control,80,direct_terminal_utility,0.01,leave_one_level,0.2,0.2,-0.01875,-0.023749999999999993,15,27,0.37792553191489364,-0.11256978156407503,-0.20937499999999995,-0.6,-0.1484375
relative_control,80,direct_terminal_utility,0.01,leave_one_level,0.3,0.3,-0.03125,-0.038749999999999986,18,38,0.37792553191489364,-0.11256978156407503,-0.26499999999999996,-0.6,-0.1484375
relative_control,80,direct_terminal_utility,0.1,leave_one_level,0.1,0.1,-0.0125,-0.014999999999999996,6,14,0.3706117021276596,-0.116341299209339,-0.11000000000000001,-0.8720815992723809,-0.15625
relative_control,80,direct_terminal_utility,0.1,leave_one_level,0.2,0.2,-0.0203125,-0.025312499999999995,14,27,0.3706117021276596,-0.116341299209339,-0.20937499999999995,-0.8720815992723809,-0.15625
relative_control,80,direct_terminal_utility,0.1,leave_one_level,0.3,0.3,-0.025,-0.03249999999999999,20,36,0.3706117021276596,-0.116341299209339,-0.26374999999999993,-0.8720815992723809,-0.15625
relative_control,80,direct_terminal_utility,1.0,leave_one_level,0.1,0.1,-0.0078125,-0.010312499999999999,5,10,0.36569148936170215,-0.11828619332606048,-0.109375,-0.8999999999999998,-0.21875
relative_control,80,direct_terminal_utility,1.0,leave_one_level,0.2,0.2,-0.0234375,-0.028437499999999994,10,25,0.36569148936170215,-0.11828619332606048,-0.20937499999999995,-0.8999999999999998,-0.21875
relative_control,80,direct_terminal_utility,1.0,leave_one_level,0.3,0.3,-0.025,-0.03249999999999999,19,35,0.36569148936170215,-0.11828619332606048,-0.26437499999999997,-0.8999999999999998,-0.21875
relative_control,80,direct_terminal_utility,10.0,leave_one_level,0.1,0.1,-0.0046875,-0.007187499999999998,5,8,0.36888297872340425,-0.1151068499452206,-0.05624999999999998,-0.7,-0.2421875
relative_control,80,direct_terminal_utility,10.0,leave_one_level,0.2,0.2,-0.025,-0.029999999999999992,7,23,0.36888297872340425,-0.1151068499452206,-0.236875,-0.7,-0.2421875
relative_control,80,direct_terminal_utility,10.0,leave_one_level,0.3,0.3,-0.0328125,-0.040312499999999994,16,37,0.36888297872340425,-0.1151068499452206,-0.3168749999999999,-0.7,-0.2421875
relative_control,80,direct_grounded,0.01,leave_one_level,0.1,0.1,-0.009375,-0.011874999999999998,7,13,0.37898936170212766,-0.11157926538807585,-0.05812499999999998,-0.8999999999999998,-0.1640625
relative_control,80,direct_grounded,0.01,leave_one_level,0.2,0.2,-0.0234375,-0.028437499999999994,13,28,0.37898936170212766,-0.11157926538807585,-0.20874999999999994,-0.8999999999999998,-0.1640625
relative_control,80,direct_grounded,0.01,leave_one_level,0.3,0.3,-0.0265625,-0.03406249999999998,20,37,0.37898936170212766,-0.11157926538807585,-0.26499999999999996,-0.8999999999999998,-0.1640625
